Customer_ID,Region,Age,Account_Type,Credit_Score,Annual_Income,Total_Loan_Amount,Overdue_Amount,Last_Payment_Date,Default_Flag,Customer_Since,Profit_Contribution,Churn_Risk,Income_Group,Loan_Category,Overdue_Flag,Tenure_Years,Age_Group,Churn_Score
C0001,North,45,Savings,673.1,829538.0,364227.0,0.0,2025-04-12,No,2024-04-12,22232.33,Low,Others,Medium,No,1.3,Middle Aged,1
C0002,North,50,Savings,651.0,594966.0,207146.0,0.0,2025-06-04,Yes,2023-03-05,12607.34,Low,Others,Medium,No,2.4,Middle Aged,1
C0003,South,23,Savings,651.9,497434.0,273569.0,0.0,2025-02-23,No,2016-06-20,14373.25,Medium,Others,Medium,No,9.1,Young,2
C0004,West,19,Credit,648.5,819544.0,441962.0,0.0,2025-03-17,No,2019-10-14,23153.86,High,Others,Large,No,5.8,Young,3
C0005,South,28,,698.8,579872.0,228123.0,0.0,2025-05-27,No,2015-12-29,11827.58,Unknown,Others,Medium,No,9.6,Young,0
C0006,East,38,Savings,653.3,698894.0,232791.0,0.0,2025-05-04,Yes,2020-09-21,23114.79,High,Others,Medium,No,4.8,Middle Aged,3
C0007,East,42,Savings,582.0,434363.0,264765.0,25000.0,2025-07-13,No,2018-05-27,21749.11,Unknown,Others,Medium,Yes,7.2,Middle Aged,0
C0008,West,49,Savings,629.5,383341.0,308028.0,0.0,2025-07-23,No,2018-03-03,15694.87,Medium,Others,Medium,No,7.4,Middle Aged,2
C0009,East,43,Credit,591.8,764817.0,221119.0,0.0,2025-07-03,Yes,2020-05-16,24656.98,Low,Others,Medium,No,5.2,Middle Aged,1
C0010,East,49,Savings,724.7,851000.0,234463.0,0.0,2025-04-14,No,2023-08-22,15012.18,Low,Others,Medium,No,1.9,Middle Aged,1
C0011,West,43,Loan,728.8,604165.0,236076.0,0.0,2025-04-30,No,2017-04-15,29437.73,Medium,Others,Medium,No,8.3,Middle Aged,2
C0012,North,31,Credit,721.7,759312.0,172163.0,0.0,2025-05-16,No,2022-12-20,19393.57,Low,Others,Small,No,2.6,Middle Aged,1
C0013,East,44,Credit,756.9,692835.0,367348.0,0.0,2025-02-04,No,2018-06-01,16810.89,Medium,Others,Medium,No,7.2,Middle Aged,2
C0014,South,39,Savings,609.1,908498.0,317765.0,0.0,2025-07-14,No,2016-04-10,20152.0,Low,Others,Medium,No,9.3,Middle Aged,1
C0015,East,55,Credit,654.1,538301.0,212368.0,15000.0,2025-03-17,No,2017-08-11,24011.59,High,Others,Medium,Yes,8.0,Senior,3
C0016,West,52,Credit,692.9,762903.0,352890.0,10000.0,2025-02-28,No,2024-03-05,21404.43,Medium,Others,Medium,Yes,1.4,Senior,2
C0017,East,33,,663.6,621578.0,140236.0,10000.0,2025-06-20,No,2024-06-01,-1241.41,Low,Others,Small,Yes,1.2,Middle Aged,1
C0018,South,43,,660.2,642173.0,283970.0,0.0,2025-06-27,Yes,2024-07-07,18671.51,Low,Others,Medium,No,1.1,Middle Aged,1
C0019,South,59,,688.7,751510.0,244417.0,25000.0,2025-05-28,No,2016-06-17,19851.59,Medium,Others,Medium,Yes,9.1,Senior,2
C0020,West,23,Loan,626.4,501483.0,257676.0,0.0,2025-03-20,No,2020-11-24,16539.13,Low,Others,Medium,No,4.7,Young,1
